State,School District,District ID,Year,PctBW,AIAN,Asian,API,Asian,HiPIs,Hisp,Black,White,2MoRac,Total,LEP
CA,Greenfield Union School District,616050,2009,13.20%,0.00%,3.90%,0.00%,4.20%,0.00%,12.40%,28.00%,14.80%,18.20%,13.80%,10.80%
CA,Grossmont Union High School District,616230,2009,12.60%,10.90%,5.20%,5.20%,0.00%,0.00%,10.00%,21.90%,9.30%,0.00%,10.30%,12.30%
CA,Hacienda La Puente Unified,616325,2009,6.00%,0.00%,1.20%,1.20%,0.00%,0.00%,5.20%,11.50%,5.60%,0.00%,4.80%,4.40%
CA,Hanford Elementary,616470,2009,9.80%,16.70%,3.20%,0.00%,3.30%,0.00%,9.90%,18.80%,9.10%,0.00%,11.10%,8.60%
CA,Hanford Joint Union High School District,616500,2009,14.50%,33.30%,8.10%,0.00%,8.10%,0.00%,18.10%,26.50%,12.00%,0.00%,16.30%,45.80%
CA,Happy Valley Elementary,616560,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Hawthorne,616680,2009,4.00%,0.00%,3.50%,3.50%,0.00%,0.00%,3.30%,9.50%,5.50%,0.00%,4.90%,3.50%
CA,Hayward Unified,616740,2009,0.20%,0.00%,0.10%,0.00%,0.00%,0.20%,0.10%,0.50%,0.30%,0.00%,0.20%,0.10%
CA,Healdsburg Unified,600044,2009,-6.50%,0.00%,33.30%,33.30%,0.00%,0.00%,7.30%,0.00%,6.50%,0.00%,6.80%,6.80%
CA,Heber Elementary,616830,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%,0.00%,0.00%,4.00%,4.00%
CA,Hemet Unified,616920,2009,10.60%,11.10%,3.60%,0.00%,3.60%,3.40%,9.10%,20.10%,9.50%,0.00%,10.00%,5.50%
CA,Hermosa Beach City Elementary,617040,2009,-0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,1.20%,0.00%
CA,Hesperia Unified,600014,2009,5.50%,18.20%,2.00%,2.00%,0.00%,0.00%,4.30%,9.70%,4.20%,0.00%,4.80%,0.00%
CA,Hollister School District,617340,2009,-5.30%,0.00%,0.00%,0.00%,0.00%,0.00%,7.50%,0.00%,5.30%,0.00%,6.80%,3.50%
CA,Hueneme Elementary,617850,2009,0.00%,0.00%,1.90%,1.90%,0.00%,0.00%,6.70%,4.80%,4.80%,0.00%,6.10%,5.60%
CA,Hughes-Elizabeth Lakes Union Elementary,617880,2009,-2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%,1.60%,0.00%
CA,Hughson Unified,600060,2009,-5.90%,0.00%,14.30%,0.00%,0.00%,100.00%,10.10%,0.00%,5.90%,0.00%,8.50%,8.20%
CA,Huntington Beach City Elementary,618030,2009,-0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.30%,0.00%
CA,Huntington Beach Union High,618060,2009,7.40%,10.40%,3.80%,0.00%,3.50%,12.00%,12.90%,14.30%,6.80%,17.60%,7.90%,12.40%
CA,Imperial Unified,618210,2009,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,6.70%,6.30%,5.50%,0.00%,6.60%,5.60%
CA,Inglewood Unified,618390,2009,5.50%,0.00%,3.00%,0.00%,0.00%,9.10%,6.30%,13.20%,7.70%,0.00%,8.90%,6.60%
CA,Irvine Unified,684500,2009,5.80%,7.40%,1.70%,0.00%,1.60%,2.80%,5.50%,9.00%,3.20%,3.10%,2.90%,3.10%
CA,Jamul-Dulzura Union School District,618730,2009,-4.10%,0.00%,0.00%,0.00%,0.00%,0.00%,4.30%,0.00%,4.10%,0.00%,4.30%,4.40%
CA,Jefferson Elementary,618870,2009,11.10%,0.00%,3.80%,3.80%,0.00%,0.00%,6.70%,18.60%,7.50%,0.00%,5.70%,4.30%
CA,Jefferson Union High,618930,2009,39.70%,20.00%,12.60%,12.60%,0.00%,0.00%,27.80%,60.50%,20.80%,0.00%,20.60%,17.60%
CA,John Swett Unified,618990,2009,16.70%,0.00%,10.00%,0.00%,8.60%,50.00%,16.30%,42.00%,25.30%,10.30%,22.90%,16.40%
CA,Jurupa Unified,619260,2009,6.60%,11.10%,4.60%,4.60%,0.00%,0.00%,8.70%,18.50%,11.90%,0.00%,9.40%,9.90%
CA,Kentfield Elementary,619380,2009,-1.20%,0.00%,0.00%,0.00%,0.00%,0.00%,5.90%,0.00%,1.20%,0.00%,1.90%,0.00%
CA,Kerman Unified,619490,2009,-4.40%,0.00%,3.70%,0.00%,3.80%,0.00%,7.10%,0.00%,4.40%,0.00%,6.60%,5.20%
CA,Kern Union High,619540,2009,20.10%,21.00%,6.70%,6.70%,0.00%,0.00%,22.30%,38.70%,18.60%,0.00%,21.90%,18.50%
CA,Kings Canyon Joint Unified,619700,2009,-12.20%,0.00%,0.00%,0.00%,0.00%,0.00%,10.40%,0.00%,12.20%,0.00%,10.40%,4.60%
CA,Kingsburg Elementary Charter,619800,2009,-5.50%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,0.00%,5.50%,35.00%,5.80%,9.20%
CA,Konocti Unified,620070,2009,6.30%,26.50%,14.30%,14.30%,0.00%,0.00%,14.00%,35.10%,28.90%,0.00%,25.20%,9.10%
CA,La Canada Unified,620130,2009,-1.90%,0.00%,2.80%,2.80%,0.00%,0.00%,3.00%,0.00%,1.90%,0.00%,2.50%,0.00%
CA,La Grange Elementary,620160,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,La Habra City Elementary,620190,2009,-3.90%,0.00%,0.00%,0.00%,0.00%,0.00%,3.50%,0.00%,3.90%,0.00%,3.40%,3.60%
CA,La Mesa-Spring Valley,620250,2009,10.60%,8.30%,3.90%,0.00%,1.50%,18.20%,5.20%,18.60%,7.90%,7.00%,7.70%,1.50%
CA,Lafayette Elementary,620310,2009,-1.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.60%,0.00%,1.40%,0.00%
CA,Laguna Beach Unified,620370,2009,-3.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2.30%,0.00%,3.20%,0.00%,3.10%,0.00%
CA,Lake Elsinore Unified,600027,2009,1.40%,15.20%,4.40%,4.40%,0.00%,0.00%,11.80%,12.30%,10.90%,0.00%,11.30%,9.50%
CA,Lake Tahoe Unified,620640,2009,-5.90%,14.30%,2.00%,2.00%,0.00%,0.00%,7.40%,0.00%,5.90%,0.00%,6.30%,5.10%
CA,Lakeside Union Elementary,620790,2009,1.20%,7.90%,3.10%,3.10%,0.00%,0.00%,4.30%,6.90%,5.70%,0.00%,5.50%,2.50%
CA,Lakeside Union School,620730,2009,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,9.50%,3.20%,0.00%,4.60%,0.00%
CA,Lancaster Elementary,620880,2009,14.30%,12.50%,10.50%,10.50%,0.00%,0.00%,9.00%,24.50%,10.30%,0.00%,14.10%,4.10%
CA,Las Virgenes Unified,621000,2009,0.10%,0.00%,1.10%,0.00%,1.10%,0.00%,4.40%,2.40%,2.20%,1.10%,2.30%,0.00%
CA,Laton Joint Unified,621150,2009,-8.70%,0.00%,0.00%,0.00%,0.00%,0.00%,12.30%,0.00%,8.70%,0.00%,11.60%,8.50%
CA,Lawndale Elementary,621210,2009,5.90%,0.00%,1.70%,0.00%,1.30%,2.70%,3.80%,9.20%,3.20%,0.00%,4.00%,0.00%
CA,Laytonville Unified,642580,2009,-6.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.60%,0.00%,5.70%,0.00%
CA,Lemon Grove,621330,2009,3.00%,0.00%,1.40%,0.00%,0.00%,2.60%,3.40%,6.60%,3.50%,0.00%,4.20%,3.50%
CA,Lemoore Union Elementary,621360,2009,10.70%,0.00%,2.30%,0.00%,2.50%,0.00%,9.30%,21.30%,10.60%,11.50%,9.70%,8.10%
CA,Lennox Elementary,621420,2009,13.30%,0.00%,0.00%,0.00%,0.00%,0.00%,6.10%,13.30%,0.00%,0.00%,6.20%,1.80%
CA,Liberty Union High,621600,2009,24.80%,7.70%,9.90%,9.90%,0.00%,0.00%,15.50%,36.70%,11.90%,0.00%,15.30%,18.30%
CA,Lincoln Elementary,621660,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Lincoln Unified,621690,2009,13.60%,16.70%,6.50%,6.50%,0.00%,0.00%,11.00%,24.40%,10.80%,0.00%,12.10%,8.90%
CA,Lindsay Unified,621870,2009,-3.20%,0.00%,10.50%,0.00%,11.10%,0.00%,14.50%,0.00%,3.20%,0.00%,13.50%,12.70%
CA,Little Lake City Elementary,621930,2009,2.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2.80%,4.00%,1.70%,0.00%,2.70%,2.10%
CA,Live Oak Elementary,621990,2009,-0.20%,16.70%,0.00%,0.00%,0.00%,0.00%,5.20%,8.30%,8.50%,0.00%,6.20%,2.30%
CA,Livermore Valley Joint Unified,622110,2009,26.80%,7.10%,3.00%,0.00%,2.70%,6.70%,12.10%,32.90%,6.10%,0.00%,8.00%,10.50%
CA,Lodi Unified,622230,2009,19.10%,33.30%,7.80%,0.00%,7.30%,21.70%,12.00%,29.40%,10.20%,25.00%,12.20%,9.70%
CA,Loleta Union Elementary,622320,2009,-25.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,18.20%,0.00%
CA,Lompoc Unified,622410,2009,4.40%,9.10%,2.90%,0.00%,3.20%,0.00%,8.30%,10.50%,6.20%,6.80%,7.80%,10.00%
CA,Lone Pine Unified,622440,2009,-14.30%,7.70%,0.00%,0.00%,0.00%,0.00%,8.10%,0.00%,14.30%,0.00%,8.60%,5.00%
CA,Long Beach Unified,622500,2009,7.60%,2.50%,2.50%,0.00%,2.00%,5.60%,4.20%,9.90%,2.30%,0.50%,4.60%,4.60%
CA,Los Alamitos Unified,622590,2009,4.10%,0.00%,0.80%,0.00%,0.80%,0.00%,1.90%,6.30%,2.20%,1.40%,2.30%,2.20%
CA,Los Altos Elementary,622650,2009,-0.40%,0.00%,0.40%,0.00%,0.50%,0.00%,0.00%,0.00%,0.40%,0.00%,0.70%,0.00%
CA,Los Angeles Unified,622710,2009,14.40%,6.30%,2.00%,2.00%,0.00%,0.00%,5.20%,17.40%,2.90%,0.00%,5.90%,5.50%
CA,Los Banos Unified,622740,2009,1.50%,0.00%,2.90%,2.90%,0.00%,0.00%,6.00%,8.20%,6.70%,0.00%,6.10%,3.40%
CA,Los Gatos-Saratoga Joint Union High,622800,2009,-2.70%,0.00%,0.60%,0.00%,0.60%,0.00%,2.60%,0.00%,2.70%,2.00%,2.20%,0.00%
CA,Los Olivos Elementary,622920,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Lowell Joint,623010,2009,-2.80%,0.00%,0.00%,0.00%,0.00%,0.00%,4.90%,0.00%,2.80%,0.00%,4.20%,0.00%
CA,Lucerne Valley Unified,600015,2009,6.30%,25.00%,40.00%,0.00%,25.00%,100.00%,13.50%,25.00%,18.70%,0.00%,16.60%,8.30%
CA,Lucia Mar Unified,623080,2009,-2.50%,10.00%,1.70%,0.00%,1.90%,0.00%,9.20%,4.80%,7.20%,7.80%,8.00%,9.00%
CA,Madera Unified,623340,2009,7.10%,16.20%,3.30%,0.00%,3.40%,0.00%,8.60%,15.40%,8.30%,13.00%,8.90%,8.30%
CA,Magnolia Elementary,623430,2009,-0.50%,20.00%,0.00%,0.00%,0.00%,0.00%,0.50%,2.80%,3.30%,0.00%,0.80%,0.50%
CA,Manhattan Beach Unified,600025,2009,-0.60%,0.00%,0.80%,0.00%,0.80%,0.00%,0.70%,0.00%,0.60%,0.00%,0.60%,0.00%
CA,Manteca Unified,623610,2009,26.50%,42.40%,27.60%,0.00%,27.50%,28.80%,29.70%,59.60%,33.00%,7.40%,33.30%,14.20%
CA,Marcum-Illinois Union Elementary,623800,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Mark Twain Union Elementary,623970,2009,-4.30%,0.00%,0.00%,0.00%,0.00%,0.00%,6.90%,0.00%,4.30%,0.00%,4.70%,0.00%
CA,Martinez Unified,624030,2009,6.20%,0.00%,2.10%,0.00%,2.30%,0.00%,7.20%,12.50%,6.30%,5.50%,6.40%,3.00%
CA,Marysville Joint Unified,624090,2009,8.70%,18.60%,5.50%,0.00%,5.00%,11.80%,13.40%,25.60%,16.80%,9.10%,15.00%,9.30%
CA,Mattole Unified,600038,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Mcfarland Unified,624230,2009,-9.10%,0.00%,0.00%,0.00%,0.00%,0.00%,5.50%,0.00%,9.10%,0.00%,6.00%,1.50%
CA,Meadows Union Elementary,624390,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.30%,0.00%,0.00%,0.00%,3.00%,1.90%
CA,Mendota Unified,600022,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.60%,0.00%,0.00%,0.00%,8.50%,8.60%
CA,Menifee Union Elementary,624540,2009,4.10%,0.00%,1.40%,1.40%,0.00%,0.00%,4.40%,9.00%,4.90%,0.00%,4.80%,2.40%
CA,Merced City Elementary,624600,2009,12.60%,0.00%,2.10%,0.00%,2.10%,0.00%,8.40%,21.90%,9.30%,0.00%,8.70%,5.90%
CA,Merced Union High,624660,2009,13.10%,23.10%,5.00%,0.00%,5.00%,0.00%,19.30%,28.90%,15.80%,21.90%,17.20%,23.10%
CA,Middletown Unified,624750,2009,-9.80%,0.00%,0.00%,0.00%,0.00%,0.00%,8.70%,0.00%,9.80%,0.00%,9.20%,8.00%
CA,Millville Elementary,624930,2009,-2.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.10%,0.00%,1.90%,0.00%
CA,Milpitas Unified,624500,2009,2.00%,0.00%,1.20%,0.00%,1.30%,0.00%,3.70%,4.30%,2.30%,0.00%,1.90%,1.50%
CA,Modesto City Elementary,625130,2009,10.80%,9.50%,7.60%,0.00%,8.30%,5.30%,10.90%,21.10%,10.30%,10.70%,10.90%,10.10%
CA,Modesto City High,625150,2009,9.50%,10.00%,6.40%,0.00%,6.40%,6.60%,12.30%,17.90%,8.30%,13.60%,10.70%,15.70%
CA,Monrovia Unified,625320,2009,5.20%,0.00%,1.30%,0.00%,1.40%,0.00%,8.30%,10.80%,5.60%,0.00%,7.40%,4.40%
CA,Monterey Peninsula Unified,625530,2009,10.70%,0.00%,4.90%,0.00%,3.00%,12.30%,9.90%,16.40%,5.70%,0.00%,8.90%,9.20%
CA,Moorpark Unified,625690,2009,5.40%,0.00%,0.90%,0.00%,0.90%,0.00%,6.60%,8.00%,2.60%,0.00%,4.20%,7.70%
CA,Moreland Elementary,625770,2009,8.80%,0.00%,1.50%,0.00%,1.50%,0.00%,8.00%,13.00%,4.30%,0.00%,5.10%,0.00%
CA,Moreno Valley Unified,625800,2009,12.70%,10.30%,6.20%,0.00%,5.40%,7.00%,10.20%,22.90%,10.20%,0.00%,12.50%,9.60%
CA,Morgan Hill Unified,625830,2009,4.60%,0.00%,2.60%,2.60%,0.00%,0.00%,8.00%,9.30%,4.70%,0.00%,6.30%,5.70%
CA,Morongo Unified,625860,2009,9.70%,31.30%,19.40%,0.00%,5.10%,43.50%,16.70%,25.70%,16.00%,20.20%,17.50%,10.50%
CA,Mountain Empire Unified,626100,2009,2.00%,25.00%,0.00%,0.00%,0.00%,0.00%,9.70%,14.30%,12.20%,0.00%,12.50%,0.00%
CA,Mountain View Elementary,626190,2009,-11.10%,0.00%,1.70%,1.70%,0.00%,0.00%,3.70%,0.00%,11.10%,0.00%,3.70%,3.60%
CA,Mountain View Elementary,626220,2009,1.30%,0.00%,0.00%,0.00%,0.00%,0.00%,4.90%,7.70%,6.40%,0.00%,4.90%,3.90%
CA,Mountain View Whisman,626280,2009,13.00%,0.00%,2.20%,2.20%,0.00%,0.00%,5.80%,16.70%,3.60%,0.00%,4.90%,4.90%
CA,Mountain View-Los Altos Union High,626310,2009,3.00%,0.00%,0.60%,0.60%,0.00%,0.00%,6.50%,4.50%,1.60%,0.00%,2.50%,10.50%
CA,Mt. Diablo Unified,626370,2009,14.90%,12.20%,3.40%,0.00%,2.80%,10.80%,9.70%,21.00%,6.20%,0.00%,8.10%,8.40%
CA,Mupu Elementary,626460,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Murrieta Valley Unified,600029,2009,10.10%,9.50%,4.00%,0.00%,3.60%,10.00%,5.20%,15.30%,5.10%,0.00%,5.40%,3.90%
CA,Napa Valley Unified,626640,2009,5.90%,13.30%,1.40%,0.00%,1.10%,8.30%,6.80%,11.80%,6.00%,3.80%,6.40%,5.60%
CA,National Elementary,626670,2009,3.20%,0.00%,0.70%,0.70%,0.00%,0.00%,1.30%,3.20%,0.00%,0.00%,1.30%,1.20%
CA,Natomas Unified,600036,2009,13.20%,15.80%,3.90%,0.00%,3.10%,7.40%,8.80%,18.10%,5.00%,9.00%,9.60%,8.30%
CA,Nevada City Elementary,626820,2009,-5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,5.00%,0.00%
CA,Nevada Joint Union High,626880,2009,-6.00%,5.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.00%,0.00%,5.70%,0.00%
CA,New Haven Unified,626910,2009,6.30%,0.00%,2.30%,0.00%,1.70%,2.90%,5.40%,11.40%,5.10%,0.00%,4.50%,3.00%
CA,Newark Unified,627060,2009,18.90%,0.00%,4.00%,4.00%,0.00%,0.00%,9.80%,25.00%,6.10%,0.00%,8.80%,6.50%
CA,Newhall Elementary,627180,2009,2.30%,0.00%,0.70%,0.00%,0.70%,0.00%,2.50%,3.10%,0.90%,0.00%,1.30%,2.00%
CA,Newport-Mesa Unified,627240,2009,3.80%,7.70%,2.20%,2.20%,0.00%,0.00%,5.90%,6.20%,2.40%,0.00%,4.00%,4.70%
CA,Norris Elementary,627450,2009,2.20%,0.00%,1.90%,0.00%,3.80%,0.00%,5.00%,7.10%,5.00%,7.50%,5.10%,2.40%
CA,North Monterey County Unified,627590,2009,-2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.90%,0.00%,2.00%,0.00%,1.90%,0.80%
CA,Northern Humboldt Union High,603030,2009,10.90%,12.90%,0.00%,0.00%,0.00%,0.00%,4.00%,16.70%,5.80%,20.00%,7.20%,0.00%
CA,Norwalk-La Mirada Unified School District,627690,2009,1.00%,0.00%,1.60%,1.60%,0.00%,0.00%,3.40%,3.80%,2.80%,0.00%,3.30%,2.40%
CA,Novato Unified,627720,2009,12.60%,0.00%,3.20%,0.00%,3.30%,0.00%,7.50%,16.70%,4.00%,0.00%,5.30%,1.20%
CA,Oak Grove Elementary,627810,2009,6.60%,13.30%,2.40%,2.40%,0.00%,0.00%,10.00%,14.80%,8.20%,0.00%,8.00%,4.50%
CA,Oak Park Unified,627850,2009,-1.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2.60%,0.00%,1.50%,0.00%,1.40%,0.00%
CA,Oak View Union Elementary,627930,2009,-2.10%,0.00%,0.00%,0.00%,0.00%,0.00%,3.10%,0.00%,2.10%,0.00%,2.40%,0.00%
CA,Oakdale Joint Unified,600062,2009,9.30%,0.00%,0.00%,0.00%,0.00%,0.00%,8.40%,18.20%,8.90%,0.00%,8.80%,8.70%
CA,Oakland Unified,628050,2009,17.40%,14.30%,3.60%,0.00%,3.00%,11.80%,7.60%,20.60%,3.20%,5.30%,10.80%,5.90%
CA,Oakley Union Elementary,628080,2009,8.90%,0.00%,2.10%,0.00%,2.30%,0.00%,4.80%,14.10%,5.20%,6.70%,6.00%,3.40%
CA,Ocean View,628140,2009,1.90%,0.00%,1.90%,0.00%,2.00%,0.00%,3.50%,4.50%,2.70%,0.00%,2.90%,2.60%
CA,Ocean View Elementary,628170,2009,-1.90%,0.00%,9.50%,9.50%,0.00%,0.00%,2.70%,0.00%,1.90%,0.00%,3.00%,0.00%
CA,Oceanside Unified,628250,2009,5.60%,11.50%,7.30%,7.30%,0.00%,0.00%,11.00%,13.10%,7.50%,0.00%,10.00%,12.60%
CA,Ojai Unified,628270,2009,-4.20%,0.00%,0.00%,0.00%,0.00%,0.00%,4.70%,0.00%,4.20%,0.00%,4.60%,1.10%
CA,Ontario-Montclair Elementary,628470,2009,2.00%,3.20%,2.70%,2.70%,0.00%,0.00%,4.50%,8.50%,6.50%,0.00%,4.70%,3.80%
CA,Orange Unified,628650,2009,4.80%,7.70%,1.70%,0.00%,1.30%,9.10%,7.60%,8.60%,3.90%,3.10%,5.60%,7.10%
CA,Orcutt Union Elementary,628710,2009,-0.60%,0.00%,4.00%,4.00%,0.00%,0.00%,3.40%,3.80%,4.50%,0.00%,4.30%,2.50%
CA,Oroville Union High,629130,2009,35.00%,38.20%,13.50%,0.00%,13.80%,0.00%,24.70%,62.50%,27.50%,0.00%,27.30%,22.60%
CA,Oxnard Elementary,629220,2009,7.90%,0.00%,1.90%,0.00%,4.90%,0.00%,5.80%,15.30%,7.40%,0.00%,5.80%,0.00%
CA,Oxnard Union High,629270,2009,3.90%,11.80%,1.90%,1.90%,0.00%,0.00%,11.30%,9.30%,5.40%,0.00%,9.60%,14.60%
CA,Pacific Elementary,629340,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Pacific Union Elementary,629400,2009,28.60%,0.00%,0.00%,0.00%,0.00%,0.00%,5.70%,50.00%,21.40%,0.00%,9.60%,7.10%
CA,Pacific Union Elementary,629430,2009,-5.60%,0.00%,0.00%,0.00%,0.00%,0.00%,5.60%,0.00%,5.60%,0.00%,7.80%,0.00%
CA,Pacifica School District,620460,2009,18.80%,0.00%,0.70%,0.70%,0.00%,0.00%,3.30%,21.40%,2.60%,0.00%,2.50%,1.90%
CA,Pajaro Valley Unified,629490,2009,11.70%,0.00%,1.20%,0.00%,0.00%,2.20%,6.90%,13.60%,2.00%,0.00%,5.90%,6.80%
CA,Palm Springs Unified,629550,2009,13.60%,15.60%,2.60%,0.00%,1.90%,2.90%,11.40%,25.10%,11.50%,0.00%,12.10%,11.20%
CA,Palmdale Elementary,629580,2009,8.60%,15.80%,1.80%,0.00%,0.90%,16.70%,5.50%,14.00%,5.40%,4.10%,6.90%,3.00%
CA,Palo Alto Unified,629610,2009,3.30%,0.00%,0.90%,0.90%,0.00%,0.00%,4.50%,5.10%,1.70%,0.00%,1.90%,1.20%
CA,Palo Verde Unified,629640,2009,5.80%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,14.80%,9.00%,0.00%,10.30%,12.00%
CA,Palos Verdes Peninsula Unified,629700,2009,-1.90%,0.00%,1.50%,1.50%,0.00%,0.00%,4.90%,0.00%,1.90%,0.00%,2.00%,2.20%
CA,Panama Buena Vista Union Elementary,606390,2009,12.20%,7.10%,3.60%,3.60%,0.00%,0.00%,10.30%,22.60%,10.40%,0.00%,11.20%,7.30%
CA,Paradise Unified,629820,2009,-13.00%,44.40%,8.30%,0.00%,9.10%,0.00%,14.40%,0.00%,13.00%,15.40%,13.70%,0.00%
CA,Paramount Unified,629850,2009,27.30%,0.00%,10.80%,10.80%,0.00%,0.00%,11.20%,44.70%,17.40%,0.00%,14.50%,13.60%
CA,Parlier Unified,629910,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.20%,0.00%,0.00%,0.00%,8.30%,3.40%
CA,Pasadena Unified,629940,2009,15.50%,0.00%,3.00%,3.00%,0.00%,0.00%,9.20%,19.20%,3.70%,0.00%,9.90%,11.60%
CA,Paso Robles Joint Unified,600048,2009,4.50%,9.10%,7.10%,0.00%,4.20%,25.00%,16.70%,14.80%,10.30%,3.40%,13.60%,15.70%
CA,Patterson Joint Unified,630030,2009,6.10%,0.00%,4.90%,4.90%,0.00%,0.00%,10.30%,15.40%,9.30%,0.00%,10.20%,3.00%
CA,Perris Elementary,630180,2009,5.70%,0.00%,0.00%,0.00%,0.00%,0.00%,6.10%,15.70%,10.00%,0.00%,7.10%,7.20%
CA,Perris Union High,630210,2009,3.90%,0.00%,3.30%,0.00%,3.00%,3.40%,9.70%,12.20%,8.40%,0.00%,9.30%,13.30%
CA,Petaluma Joint Union High,630250,2009,18.00%,12.50%,0.00%,0.00%,0.00%,0.00%,16.30%,25.00%,7.00%,7.70%,9.30%,17.50%
CA,Pierce Joint Unified,630360,2009,10.80%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,20.00%,9.20%,0.00%,10.00%,7.70%
CA,Pittsburg Unified,630600,2009,9.60%,0.00%,3.40%,0.00%,4.10%,3.00%,7.90%,19.10%,9.40%,5.70%,10.00%,6.90%
CA,Placentia-Yorba Linda Unified,630660,2009,1.10%,0.00%,1.00%,1.00%,0.00%,0.00%,5.60%,4.40%,3.30%,0.00%,3.90%,5.80%
CA,Placer Union High,630750,2009,-9.40%,13.30%,5.90%,0.00%,8.30%,0.00%,14.30%,0.00%,9.40%,1.40%,9.40%,16.70%
CA,Placerville Union Elementary,630780,2009,-7.10%,0.00%,0.00%,0.00%,0.00%,0.00%,3.20%,0.00%,7.10%,0.00%,6.60%,6.90%
CA,Pleasant Valley,630990,2009,3.80%,11.10%,2.20%,0.00%,2.00%,2.60%,4.40%,7.00%,3.20%,0.00%,3.70%,2.80%
CA,Pleasant View Elementary,631050,2009,-20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.40%,0.00%,20.00%,0.00%,5.70%,4.90%
